ID_Tempo,Data,Dia,Mês,Ano,Dia_Semana,Trimestre,anoMes
210,2011-08-19,19,8,2011,Friday,3,201012
211,2011-08-21,21,8,2011,Sunday,3,201012
212,2011-08-22,22,8,2011,Monday,3,201012
213,2011-08-23,23,8,2011,Tuesday,3,201012
214,2011-08-24,24,8,2011,Wednesday,3,201012
215,2011-08-25,25,8,2011,Thursday,3,201012
216,2011-08-26,26,8,2011,Friday,3,201012
217,2011-08-28,28,8,2011,Sunday,3,201012
218,2011-08-30,30,8,2011,Tuesday,3,201012
219,2011-08-31,31,8,2011,Wednesday,3,201012
220,2011-09-01,1,9,2011,Thursday,3,201012
221,2011-09-02,2,9,2011,Friday,3,201012
222,2011-09-04,4,9,2011,Sunday,3,201012
223,2011-09-05,5,9,2011,Monday,3,201012
224,2011-09-06,6,9,2011,Tuesday,3,201012
225,2011-09-07,7,9,2011,Wednesday,3,201012
226,2011-09-08,8,9,2011,Thursday,3,201012
227,2011-09-09,9,9,2011,Friday,3,201012
228,2011-09-11,11,9,2011,Sunday,3,201012
229,2011-09-12,12,9,2011,Monday,3,201012
230,2011-09-13,13,9,2011,Tuesday,3,201012
231,2011-09-14,14,9,2011,Wednesday,3,201012
232,2011-09-15,15,9,2011,Thursday,3,201012
233,2011-09-16,16,9,2011,Friday,3,201012
234,2011-09-18,18,9,2011,Sunday,3,201012
235,2011-09-19,19,9,2011,Monday,3,201012
236,2011-09-20,20,9,2011,Tuesday,3,201012
237,2011-09-21,21,9,2011,Wednesday,3,201012
238,2011-09-22,22,9,2011,Thursday,3,201012
239,2011-09-23,23,9,2011,Friday,3,201012
240,2011-09-25,25,9,2011,Sunday,3,201012
241,2011-09-26,26,9,2011,Monday,3,201012
242,2011-09-27,27,9,2011,Tuesday,3,201012
243,2011-09-28,28,9,2011,Wednesday,3,201012
244,2011-09-29,29,9,2011,Thursday,3,201012
245,2011-09-30,30,9,2011,Friday,3,201012
246,2011-10-02,2,10,2011,Sunday,4,201012
247,2011-10-03,3,10,2011,Monday,4,201012
248,2011-10-04,4,10,2011,Tuesday,4,201012
249,2011-10-05,5,10,2011,Wednesday,4,201012
250,2011-10-06,6,10,2011,Thursday,4,201012
251,2011-10-07,7,10,2011,Friday,4,201012
252,2011-10-09,9,10,2011,Sunday,4,201012
253,2011-10-10,10,10,2011,Monday,4,201012
254,2011-10-11,11,10,2011,Tuesday,4,201012
255,2011-10-12,12,10,2011,Wednesday,4,201012
256,2011-10-13,13,10,2011,Thursday,4,201012
257,2011-10-14,14,10,2011,Friday,4,201012
258,2011-10-16,16,10,2011,Sunday,4,201012
259,2011-10-17,17,10,2011,Monday,4,201012
260,2011-10-18,18,10,2011,Tuesday,4,201012
261,2011-10-19,19,10,2011,Wednesday,4,201012
262,2011-10-20,20,10,2011,Thursday,4,201012
263,2011-10-21,21,10,2011,Friday,4,201012
264,2011-10-23,23,10,2011,Sunday,4,201012
265,2011-10-24,24,10,2011,Monday,4,201012
266,2011-10-25,25,10,2011,Tuesday,4,201012
267,2011-10-26,26,10,2011,Wednesday,4,201012
268,2011-10-27,27,10,2011,Thursday,4,201012
269,2011-10-28,28,10,2011,Friday,4,201012
270,2011-10-30,30,10,2011,Sunday,4,201012
271,2011-10-31,31,10,2011,Monday,4,201012
272,2011-11-01,1,11,2011,Tuesday,4,201012
273,2011-11-02,2,11,2011,Wednesday,4,201012
274,2011-11-03,3,11,2011,Thursday,4,201012
275,2011-11-04,4,11,2011,Friday,4,201012
276,2011-11-06,6,11,2011,Sunday,4,201012
277,2011-11-07,7,11,2011,Monday,4,201012
278,2011-11-08,8,11,2011,Tuesday,4,201012
279,2011-11-09,9,11,2011,Wednesday,4,201012
280,2011-11-10,10,11,2011,Thursday,4,201012
281,2011-11-11,11,11,2011,Friday,4,201012
282,2011-11-13,13,11,2011,Sunday,4,201012
283,2011-11-14,14,11,2011,Monday,4,201012
284,2011-11-15,15,11,2011,Tuesday,4,201012
285,2011-11-16,16,11,2011,Wednesday,4,201012
286,2011-11-17,17,11,2011,Thursday,4,201012
287,2011-11-18,18,11,2011,Friday,4,201012
288,2011-11-20,20,11,2011,Sunday,4,201012
289,2011-11-21,21,11,2011,Monday,4,201012
290,2011-11-22,22,11,2011,Tuesday,4,201012
291,2011-11-23,23,11,2011,Wednesday,4,201012
292,2011-11-24,24,11,2011,Thursday,4,201012
293,2011-11-25,25,11,2011,Friday,4,201012
294,2011-11-27,27,11,2011,Sunday,4,201012
295,2011-11-28,28,11,2011,Monday,4,201012
296,2011-11-29,29,11,2011,Tuesday,4,201012
297,2011-11-30,30,11,2011,Wednesday,4,201012
298,2011-12-01,1,12,2011,Thursday,4,201012
299,2011-12-02,2,12,2011,Friday,4,201012
300,2011-12-04,4,12,2011,Sunday,4,201012
301,2011-12-05,5,12,2011,Monday,4,201012
302,2011-12-06,6,12,2011,Tuesday,4,201012
303,2011-12-07,7,12,2011,Wednesday,4,201012
304,2011-12-08,8,12,2011,Thursday,4,201012
305,2011-12-09,9,12,2011,Friday,4,201012
